example_idx,gt,raw_response,parsed_answer,correct,abs_error,rel_error,latency_sec,error
0,1160.0,"```python
def solve():
    # We define:
    # x = number of boat trips
    # y = number of canoe trips
    #
    # Constraints:
    # 1) Duck requirement: 10x + 8y >= 300
    # 2) Boat trip limit: x <= 12
    # 3) At least 60% of trips by canoe: y >= 1.5x
    # 4) x, y >= 0
    #
    # Objective: minimize total time T = 20x + 40y
    #
    # Since the problem is small and integer in nature (trips), we brute-force
    # over integer x, y satisfying the constraints and find the minimum T.

    best_time = None

    # x cannot exceed 12 by constraint, and cannot be negative.
    for x in range(0, 13):
        # y must be at least 1.5x and nonnegative.
        # Also, from duck constraint: 10x + 8y >= 300 -> y >= (300 - 10x)/8
        y_min_canoe_ratio = 1.5 * x
        y_min_ducks = max(0.0, (300 - 10 * x) / 8.0)
        y_start = int(-(-max(y_min_canoe_ratio, y_min_ducks) // 1))  # ceil

        # Reasonable upper bound for y: enough to carry all ducks with no boats
        # 8y >= 300 -> y >= 37.5, so up to, say, 100 is safe.
        for y in range(y_start, 101):
            # Check duck constraint explicitly (for safety with integer rounding)
            if 10 * x + 8 * y < 300:
                continue
            # Check canoe ratio constraint
            if y < 1.5 * x:
                continue
            # Check boat trip limit
            if x > 12:
                continue

            time = 20 * x + 40 * y
            if best_time is None or time < best_time:
                best_time = time

    # Return the optimal objective value as float
    return float(best_time)
```",1160.0,True,0.0,0.0,4.039384365081787,
1,350.0,"```python
def solve():
    # We minimize filler: F = 2L + S
    # Subject to:
    # 1) Medicinal ingredient constraint: 3L + 2S <= 1000
    # 2) At least 100 large pills: L >= 100
    # 3) At least 60% small: S >= 1.5 * L
    #
    # This is a 2-variable linear program. The feasible region is a polygon;
    # the optimum lies at a vertex (intersection of constraints).
    #
    # We'll find all candidate vertices formed by intersecting pairs of
    # constraints (including bounds) and then check feasibility and objective.

    candidates = []

    # Helper to check feasibility and add candidate
    def add_candidate(L, S):
        # Feasibility checks with a small tolerance for float arithmetic
        eps = 1e-9
        if L + eps < 100:  # L >= 100
            return
        if S + eps < 1.5 * L:  # S >= 1.5L
            return
        if 3 * L + 2 * S - 1000 > eps:  # 3L + 2S <= 1000
            return
        if L < -eps or S < -eps:  # nonnegativity (implicit)
            return
        candidates.append((L, S))

    # 1) Intersection of S = 1.5L and 3L + 2S = 1000
    #    3L + 2(1.5L) = 3L + 3L = 6L = 1000 => L = 1000/6, S = 1.5 * L
    L1 = 1000.0 / 6.0
    S1 = 1.5 * L1
    add_candidate(L1, S1)

    # 2) Intersection of L = 100 and S = 1.5L
    L2 = 100.0
    S2 = 1.5 * L2
    add_candidate(L2, S2)

    # 3) Intersection of L = 100 and 3L + 2S = 1000
    #    3*100 + 2S = 1000 => 300 + 2S = 1000 => S = 350
    L3 = 100.0
    S3 = 350.0
    add_candidate(L3, S3)

    # 4) Potentially, intersection of S = 0 and others, but S >= 1.5L
    #    would force L <= 0, which conflicts with L >= 100, so no need.

    # Compute objective for all feasible candidates and return minimum
    best_val = float('inf')
    for L, S in candidates:
        filler = 2.0 * L + S
        if filler < best_val:
            best_val = filler

    return best_val
```",350.0,True,0.0,0.0,3.646419048309326,
2,100.0,"```python
def solve():
    # We need to minimize the total number of workers:
    # Let x = number of full-time workers (8 hours, $300)
    #     y = number of part-time workers (4 hours, $100)
    #
    # Constraints:
    # 1) Hours: 8x + 4y >= 500
    # 2) Budget: 300x + 100y <= 15000
    # 3) x, y >= 0 and integers
    #
    # Objective: minimize x + y
    
    best_value = None  # minimal number of workers
    # Upper bound for x from budget: 300x <= 15000 -> x <= 50
    # Also from hours alone: 8x <= 500 -> x <= 62.5, so 50 is tighter.
    for x in range(0, 51):
        # From budget: 300x + 100y <= 15000 -> y <= (15000 - 300x)/100
        max_y = (15000 - 300 * x) // 100
        if max_y < 0:
            continue
        
        # From hours: 8x + 4y >= 500 -> y >= (500 - 8x)/4
        # Need integer y, so take ceiling
        min_y_num = 500 - 8 * x
        if min_y_num <= 0:
            min_y = 0
        else:
            # ceiling division for positive numerator
            min_y = (min_y_num + 4 - 1) // 4
        
        if min_y > max_y:
            continue
        
        # Feasible y range is [min_y, max_y]; objective increases with y,
        # so choose smallest feasible y.
        y = min_y
        
        total_workers = x + y
        if best_value is None or total_workers < best_value:
            best_value = total_workers
    
    # Return the optimal objective value (minimal number of workers) as float
    return float(best_value)
```",100.0,True,0.0,0.0,2.5406434535980225,
3,7.0,"```python
def solve():
    # We want to minimize x + y
    # Subject to:
    # 80x + 150y >= 1000   (production)
    # 50x + 70y <= 500     (heat)
    # x, y >= 0 and integers (number of machines)
    #
    # We'll brute force over a reasonable range of integer x, y.
    # Upper bounds: from heat constraint:
    #   50x + 70y <= 500 -> x <= 10, y <= 500/70 < 8
    # So x in [0,10], y in [0,7] is enough.

    best_value = None

    for x in range(0, 11):
        for y in range(0, 8):
            # Check constraints
            if 80 * x + 150 * y >= 1000 and 50 * x + 70 * y <= 500:
                value = x + y
                if best_value is None or value < best_value:
                    best_value = value

    # Return the minimal number of machines as a float
    return float(best_value if best_value is not None else 0.0)
```",7.0,True,0.0,0.0,2.463557720184326,
4,327.6595744680851,"```python
def solve():
    # We solve the LP:
    # Minimize: 100x + 80y
    # Subject to:
    # 10x + 7y >= 30   (protein)
    #  8x +15y >= 50   (fat)
    # x, y >= 0
    
    # The optimal solution for a 2-variable LP with linear constraints
    # will occur at a corner (intersection of constraint lines or axes).
    # We check:
    # 1) Intersection of the two constraint lines
    # 2) Intersection with axes where feasible
    
    # 1) Solve the system:
    # 10x + 7y = 30
    #  8x +15y = 50
    
    # Solve via substitution / elimination:
    # Multiply first equation by 8, second by 10:
    # 80x + 56y = 240
    # 80x +150y = 500
    # Subtract first from second:
    # 94y = 260  =>  y = 260/94
    y = 260.0 / 94.0
    # Plug back into 10x + 7y = 30:
    # 10x = 30 - 7y
    x = (30.0 - 7.0 * y) / 10.0
    
    # Check feasibility (x, y >= 0 automatically holds from calculation here)
    # Compute cost at this intersection:
    cost_intersection = 100.0 * x + 80.0 * y
    
    # 2) Check axis intersections:
    # Case x = 0:
    # Protein: 7y >= 30 => y >= 30/7
    # Fat:    15y >= 50 => y >= 50/15
    y_x0 = max(30.0 / 7.0, 50.0 / 15.0)
    cost_x0 = 100.0 * 0.0 + 80.0 * y_x0
    
    # Case y = 0:
    # Protein: 10x >= 30 => x >= 30/10 = 3
    # Fat:     8x >= 50  => x >= 50/8
    x_y0 = max(30.0 / 10.0, 50.0 / 8.0)
    cost_y0 = 100.0 * x_y0 + 80.0 * 0.0
    
    # The optimal cost is the minimum of these feasible corner costs
    optimal_cost = min(cost_intersection, cost_x0, cost_y0)
    return optimal_cost
```",327.6595744680851,True,0.0,0.0,3.8908767700195312,
5,215000.0,"```python
def solve():
    # We solve the LP:
    # Maximize: 2.5*x + 3*y
    # Subject to:
    #   20000 <= x <= 50000
    #   10000 <= y <= 30000
    #   x + y >= 60000
    
    # Since this is a 2-variable LP with simple bounds, we can enumerate
    # all corner points of the feasible region and pick the best.
    
    candidates = []
    
    # Bounds
    x_min, x_max = 20000.0, 50000.0
    y_min, y_max = 10000.0, 30000.0
    
    # Helper to check feasibility
    def feasible(x, y):
        return (x_min <= x <= x_max and
                y_min <= y <= y_max and
                x + y >= 60000.0)
    
    # List all potential corner points formed by intersecting constraints:
    # 1) (x_min, y_min), (x_min, y_max), (x_max, y_min), (x_max, y_max)
    pts = [
        (x_min, y_min),
        (x_min, y_max),
        (x_max, y_min),
        (x_max, y_max)
    ]
    
    # 2) Intersections with x + y = 60000:
    #    y = 60000 - x, with x at its bounds
    for x in [x_min, x_max]:
        y = 60000.0 - x
        pts.append((x, y))
    #    x = 60000 - y, with y at its bounds
    for y in [y_min, y_max]:
        x = 60000.0 - y
        pts.append((x, y))
    
    # Evaluate feasible points
    best_val = float(""-inf"")
    for x, y in pts:
        if feasible(x, y):
            val = 2.5 * x + 3.0 * y
            if val > best_val:
                best_val = val
    
    return best_val
```",215000.0,True,0.0,0.0,2.766770839691162,
6,513.0,"```python
def solve():
    # Let x = number of bikes, y = number of scooters
    # Maximize meals: 8x + 5y
    # Subject to:
    # 1) Charge: 3x + 2y <= 200
    # 2) Bike proportion: x <= 0.3(x + y)  ->  0.7x <= 0.3y  ->  7x <= 3y
    # 3) At least 20 scooters: y >= 20
    # 4) x, y >= 0
    
    best_value = float('-inf')
    
    # Since charge is limited, we can bound x and y.
    # Max x if only bikes: 3x <= 200 -> x <= 66
    # Max y if only scooters: 2y <= 200 -> y <= 100
    # We'll search integer solutions in these bounds.
    
    for x in range(0, 67):      # 0 to 66
        for y in range(20, 101):  # y >= 20, up to 100
            # Check constraints
            if 3 * x + 2 * y > 200:
                continue
            if 7 * x > 3 * y:
                continue
            
            value = 8 * x + 5 * y
            if value > best_value:
                best_value = value
    
    return float(best_value)
```",513.0,True,0.0,0.0,2.5603177547454834,
7,236.5,"```python
def solve():
    # We solve the LP:
    # Maximize 43x + 52y
    # subject to:
    # 1.4x + 1.1y <= 17   (stain)
    # 2x   + 3y   <= 11   (wood)
    # x, y >= 0
    
    # The maximum of a linear program with two variables occurs at a corner point
    # of the feasible region. The corner points are:
    # 1) Intersection with axes:
    #    - (0,0)
    #    - Stain-only: 1.4x = 17 -> (17/1.4, 0)
    #    - Wood-only: 2x = 11   -> (11/2, 0)
    #    - Stain-only: 1.1y = 17 -> (0, 17/1.1)
    #    - Wood-only: 3y = 11   -> (0, 11/3)
    # 2) Intersection of the two constraints:
    #    1.4x + 1.1y = 17
    #    2x   + 3y   = 11
    
    # We only keep points that satisfy both constraints and x,y >= 0.
    
    # Helper to check feasibility
    def feasible(x, y):
        if x < 0 or y < 0:
            return False
        if 1.4 * x + 1.1 * y > 17 + 1e-9:
            return False
        if 2 * x + 3 * y > 11 + 1e-9:
            return False
        return True

    # Objective function
    def profit(x, y):
        return 43 * x + 52 * y

    candidates = []

    # (0,0)
    candidates.append((0.0, 0.0))

    # x-intercepts
    # From stain: 1.4x = 17
    x1 = 17.0 / 1.4
    if feasible(x1, 0.0):
        candidates.append((x1, 0.0))

    # From wood: 2x = 11
    x2 = 11.0 / 2.0
    if feasible(x2, 0.0):
        candidates.append((x2, 0.0))

    # y-intercepts
    # From stain: 1.1y = 17
    y1 = 17.0 / 1.1
    if feasible(0.0, y1):
        candidates.append((0.0, y1))

    # From wood: 3y = 11
    y2 = 11.0 / 3.0
    if feasible(0.0, y2):
        candidates.append((0.0, y2))

    # Intersection of:
    # 1.4x + 1.1y = 17
    # 2x   + 3y   = 11
    # Solve the system using substitution or elimination.
    # From second: x = (11 - 3y)/2
    # Substitute into first:
    # 1.4*(11 - 3y)/2 + 1.1y = 17
    # 0.7*(11 - 3y) + 1.1y = 17
    # 7.7 - 2.1y + 1.1y = 17
    # 7.7 - 1.0y = 17
    # -y = 9.3 -> y = -9.3 (infeasible since y >= 0)
    y_int = -9.3
    x_int = (11.0 - 3.0 * y_int) / 2.0
    # Check feasibility (it will fail due to negative y)
    if feasible(x_int, y_int):
        candidates.append((x_int, y_int))

    # Evaluate profits at all feasible candidates
    best = float('-inf')
    for x, y in candidates:
        val = profit(x, y)
        if val > best:
            best = val

    return float(best)
```",236.5,True,0.0,0.0,5.137372970581055,
8,400000.0,"```python
def solve():
    # We solve the LP:
    # Maximize 200x + 300y
    # subject to:
    #   2x + 4y <= 5000   (design hours)
    #   3x + 5y <= 6000   (engineering hours)
    #   x >= 0, y >= 0
    
    # Corner points come from intersections of constraints and axes.
    # 1) (0,0)
    # 2) Intersection with x-axis (y=0):
    #    2x <= 5000 -> x <= 2500
    #    3x <= 6000 -> x <= 2000
    #    => (2000, 0)
    # 3) Intersection with y-axis (x=0):
    #    4y <= 5000 -> y <= 1250
    #    5y <= 6000 -> y <= 1200
    #    => (0, 1200)
    # 4) Intersection of 2x + 4y = 5000 and 3x + 5y = 6000:
    #    Solve:
    #      2x + 4y = 5000
    #      3x + 5y = 6000
    #    Multiply first eqn by 3: 6x + 12y = 15000
    #    Multiply second eqn by 2: 6x + 10y = 12000
    #    Subtract: 2y = 3000 -> y = 1500
    #    Then 2x + 4*1500 = 5000 -> 2x + 6000 = 5000 -> x = -500 (infeasible)
    # So that intersection is infeasible (x < 0), not in the feasible region.
    
    # Evaluate objective at feasible corners:
    candidates = [
        (0, 0),
        (2000, 0),
        (0, 1200)
    ]
    
    best_value = float('-inf')
    for x, y in candidates:
        value = 200 * x + 300 * y
        if value > best_value:
            best_value = value
    
    return float(best_value)
```",400000.0,True,0.0,0.0,2.8525776863098145,
9,950.0,"```python
def solve():
    # We solve the LP:
    # Maximize: 20x + 30y
    # Subject to:
    #   10x + 20y <= 500   (water)
    #   15x + 20y <= 700   (powder)
    #   x >= 0, y >= 0
    
    # Corner points come from intersections of constraints and axes.
    # 1) Intersections with axes:
    #    - x-axis (y = 0):
    #        10x <= 500  -> x <= 50
    #        15x <= 700  -> x <= 700/15
    #      So max x on x-axis is min(50, 700/15).
    x1 = min(500.0 / 10.0, 700.0 / 15.0)
    y1 = 0.0
    obj1 = 20.0 * x1 + 30.0 * y1

    #    - y-axis (x = 0):
    #        20y <= 500 -> y <= 25
    #        20y <= 700 -> y <= 35
    #      So max y on y-axis is min(25, 35) = 25.
    x2 = 0.0
    y2 = min(500.0 / 20.0, 700.0 / 20.0)
    obj2 = 20.0 * x2 + 30.0 * y2

    # 2) Intersection of the two constraints:
    #    10x + 20y = 500
    #    15x + 20y = 700
    # Subtract first from second:
    #    5x = 200 -> x = 40
    # Plug into first: 10*40 + 20y = 500 -> 400 + 20y = 500 -> y = 5
    x3 = 40.0
    y3 = 5.0
    obj3 = 20.0 * x3 + 30.0 * y3

    # Take the maximum objective value among feasible corners
    return max(obj1, obj2, obj3)
```",950.0,True,0.0,0.0,3.8948230743408203,
